sample_id,wpm,word_count,duration_sec,whisper_transcript,filler_count,filler_ratio,mean_pitch,pitch_std,pitch_range,pitch_variability,jitter,shimmer,mean_energy,energy_std,energy_range,speech_ratio,pause_count,avg_pause_duration,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,mfcc_1,mfcc_delta_1,mfcc_2,mfcc_delta_2,mfcc_3,mfcc_delta_3,mfcc_4,mfcc_delta_4,mfcc_5,mfcc_delta_5,mfcc_6,mfcc_delta_6,mfcc_7,mfcc_delta_7,mfcc_8,mfcc_delta_8,mfcc_9,mfcc_delta_9,mfcc_10,mfcc_delta_10,mfcc_11,mfcc_delta_11,mfcc_12,mfcc_delta_12,mfcc_13,mfcc_delta_13,tone_label,tone_score,tone_ang,tone_hap,tone_neu,tone_sad
sample_000_AimeeMullins_2009P_Segment100,274.81,24,5.24,A few years ago I was in a food market in the town where I grew up in that red zone in northeastern Pennsylvania.,0,0.0,216.42,41.729,346.723,0.1928,0.077664,0.171094,0.085182,0.037203,0.170343,0.9819,0,0.0,1902.885,1509.052,3541.214,0.141853,-176.9291,-0.74188,64.7704,0.306401,-51.6066,-0.543858,36.5316,-0.098907,-28.2456,0.182388,-13.2713,0.03152,-30.0312,-0.091696,-10.8608,0.248587,-8.2059,0.222014,-18.5305,0.058124,-7.6468,-0.025948,-13.7377,0.209786,-8.6726,0.002543,ang,0.5035,0.5035,0.4541,0.0424,0.0
sample_001_AimeeMullins_2009P_Segment101,220.38,31,8.44,"And I was standing over a bushel of tomatoes. It was summertime. I had shorts on. I hear this guy, his voice behind me say, well, if it isn't Amy Mullins.",0,0.0,212.666,54.567,391.116,0.2566,0.127219,0.153586,0.046126,0.023163,0.091717,0.9693,1,0.256,2007.748,1528.324,3742.396,0.159731,-228.1169,-0.887345,65.4158,0.042213,-54.7412,0.490014,28.0033,-0.102604,-36.5251,0.310243,-6.3918,-0.059855,-28.6696,0.100212,-12.2938,-0.102349,-9.0821,-0.063666,-15.8036,-0.015549,-8.2266,-0.02322,-13.1053,-0.048284,-6.7863,0.031507,ang,0.6777,0.6777,0.3032,0.0187,0.0004
sample_002_AimeeMullins_2009P_Segment102,210.37,23,6.56,"I turn around and this is older man I have no idea who he is. And I said, I'm sorry sir, I don't...",0,0.0,172.152,55.053,236.687,0.3198,0.225398,0.13882,0.042379,0.025626,0.094456,0.9314,3,0.128,1847.05,1546.235,3435.938,0.14632,-233.5611,-0.850369,81.1378,0.146046,-41.7993,0.190107,18.0623,-0.04812,-20.0209,0.272189,-7.3955,0.005265,-22.2139,-0.010885,-9.1215,-0.049071,-3.4086,-0.04592,-12.5022,0.038028,-14.3471,0.075144,-6.5466,0.039211,-5.5171,-0.025955,hap,0.7219,0.0208,0.7219,0.2544,0.0029
sample_003_AimeeMullins_2009P_Segment103,219.7,29,7.92,"Have we met? I don't remember meeting you. He said, well, you wouldn't remember meeting me. I mean, when we met, I was delivering you from your mother's womb.",0,0.0,190.043,54.662,312.531,0.2876,0.140818,0.123033,0.068873,0.038184,0.142484,0.8699,3,0.341,1735.022,1487.319,3317.434,0.115932,-210.4716,-0.456666,81.8069,0.069405,-43.3486,0.26481,36.2642,0.077954,-31.5696,0.084064,-8.9173,0.027046,-19.3841,0.085478,-11.9178,-0.094903,-14.0085,-0.104247,-16.332,-0.042165,-11.546,-0.042664,-13.1055,-0.095466,-7.5234,-0.032021,hap,0.7667,0.2316,0.7667,0.0012,0.0006
sample_004_AimeeMullins_2009P_Segment104,70.0,7,6.0,"Oh, that guy. And of course, actually.",1,0.1429,261.994,133.549,450.0,0.5097,0.473351,0.135554,0.05874,0.035536,0.139663,0.9479,1,0.32,2146.454,1518.861,3804.364,0.204446,-170.1606,-0.614752,57.1249,-0.046203,-66.4713,0.350683,17.9496,0.542036,-27.7327,-0.021806,-1.4314,-0.200983,-23.0009,0.035025,-11.6328,0.029125,-3.4713,-0.281365,-20.1986,-0.125192,-13.5834,-0.007435,-10.2215,-0.137155,-4.7607,0.099937,hap,0.9685,0.0197,0.9685,0.0086,0.0032
sample_005_AimeeMullins_2009P_Segment105,171.81,26,9.08,"It did click. This man was Dr. Keane, a man that I had only known about through my mother's stories of that day. Because, of course.",0,0.0,190.615,76.798,401.167,0.4029,0.283425,0.155091,0.075575,0.054578,0.198723,0.8278,3,0.448,1974.588,1603.61,3717.524,0.159344,-194.8854,0.352935,70.481,0.021764,-38.2898,-0.075969,24.2827,-0.303472,-23.7169,0.210944,-10.1861,-0.059023,-20.1953,-0.123528,-10.5757,-0.007799,-11.6436,0.162341,-13.9719,0.009255,-10.9798,-0.003413,-9.1204,0.114152,-5.1897,-0.067273,ang,0.8085,0.8085,0.1859,0.0015,0.0041
sample_006_AimeeMullins_2009P_Segment106,170.0,34,12.0,"typical fashion, I arrived late for my birthday by two weeks, and so my mother's prenatal physician had gone on vacation. So the man who delivered me was a complete stranger to my parents.",2,0.0588,201.428,73.232,450.0,0.3636,0.249694,0.172087,0.061444,0.036817,0.133434,0.9072,5,0.186,2120.878,1569.93,3820.953,0.185934,-200.3819,-0.457566,60.2068,0.180475,-45.0675,-0.066804,34.2189,-0.03205,-26.986,0.040361,-11.1485,0.023335,-27.0631,0.05752,-9.7364,0.082271,-10.4935,0.06674,-18.1827,-0.004685,-10.0455,-0.001111,-10.9621,0.010988,-6.0013,-0.009941,hap,0.824,0.1678,0.824,0.0073,0.0009
sample_007_AimeeMullins_2009P_Segment107,244.19,35,8.6,"And because I was born without the fibula bones, and had feet turned in and a few toes in this foot and a few toes in that, he had to be the bearer, the stranger.",0,0.0,207.018,73.486,447.846,0.355,0.205399,0.16847,0.069082,0.040973,0.175023,0.9211,3,0.192,2098.757,1608.705,3866.046,0.173312,-187.9272,-0.154608,61.5636,0.17525,-40.0162,-0.188747,32.7815,-0.336098,-27.2119,0.336371,-6.9079,0.106045,-27.6807,-0.138512,-12.2964,-0.014429,-7.9528,0.118086,-16.045,0.012003,-10.261,-0.106603,-11.9961,0.040919,-4.7902,0.011141,hap,0.525,0.341,0.525,0.1205,0.0135
sample_008_AimeeMullins_2009P_Segment108,191.18,26,8.16,"had to be the bearer of bad news. He said to me, I had to give this prognosis to your parents that you would never walk.",0,0.0,162.691,70.006,421.317,0.4303,0.263632,0.171622,0.058315,0.041023,0.151953,0.8226,4,0.352,1956.537,1604.686,3678.809,0.160735,-216.7713,-0.567902,80.0745,-0.114252,-32.4623,0.170597,25.9387,0.045096,-18.4072,0.195681,-11.5142,0.15411,-17.7884,-0.016616,-9.2474,-0.004408,-9.6878,-0.006026,-16.0182,0.063069,-11.8378,0.063691,-7.2188,-0.077823,-6.1449,0.084169,ang,0.9742,0.9742,0.0221,0.001,0.0027
sample_009_AimeeMullins_2009P_Segment109,243.46,31,7.64,and you would never have the kind of mobility that other kids have or any kind of life of independence. And you've been making a liar out of me ever since.,2,0.0645,185.223,48.866,312.635,0.2638,0.130011,0.137145,0.084992,0.04473,0.17657,0.9142,2,0.288,1801.348,1463.947,3340.211,0.140761,-168.6315,-0.064275,80.7104,-0.451543,-53.295,0.120256,26.592,-0.21563,-26.2643,0.314844,-9.2714,0.034895,-22.5142,0.036503,-11.8216,-0.002873,-5.696,0.008163,-14.0171,0.119087,-13.1656,-0.016094,-7.3195,0.044796,-6.4136,0.000552,ang,0.819,0.819,0.1703,0.0104,0.0002
sample_010_AimeeMullins_2009P_Segment11,66.67,10,9.0,"See also hurt, useless, and weak. Antonyms, healthy, strong, capable.",0,0.0,168.097,88.881,449.629,0.5287,0.282051,0.172526,0.051583,0.049953,0.186573,0.6816,7,0.389,2228.247,1789.091,4287.401,0.197956,-209.2967,-0.297064,63.276,0.439651,-26.0181,-0.199123,11.7598,-0.28664,-23.0869,-0.276043,-7.4245,0.193725,-16.3438,-0.003078,-7.3048,0.091352,-9.6963,0.158549,-11.8543,0.087821,-11.1333,0.00782,-8.2601,0.06373,-5.9524,-0.039084,ang,0.9283,0.9283,0.0705,0.0006,0.0006
sample_011_AimeeMullins_2009P_Segment111,140.0,14,6.0,The extraordinary thing is that he had saved newspaper clipping throughout my whole childhood.,0,0.0,234.027,95.977,421.213,0.4101,0.292915,0.202844,0.106197,0.07095,0.261823,0.8449,1,0.832,2096.478,1637.073,3837.766,0.177553,-149.8503,-0.287199,61.93,0.068976,-34.3427,0.033387,27.3761,0.033117,-24.7322,-0.046137,-14.5151,-0.074209,-20.0899,-0.170894,-9.7323,0.028658,-10.8619,0.178285,-17.4004,0.082488,-11.7388,0.099308,-10.5414,0.113822,-8.6746,0.100257,ang,0.9898,0.9898,0.0086,0.0002,0.0013
sample_012_AimeeMullins_2009P_Segment112,156.25,25,9.6,"whether winning a second grade spelling bee, marching with the Girl Scouts, the Halloween parade, winning my college scholarship, or any of my sports victories.",0,0.0,215.595,51.097,377.759,0.237,0.13178,0.150648,0.076542,0.040285,0.153096,1.0,0,0.0,1900.549,1502.044,3518.106,0.146184,-183.9151,-0.019155,79.4888,-0.459154,-43.6999,0.298882,34.9861,-0.022747,-29.8686,0.218526,-6.2759,-0.038168,-22.5148,0.0323,-11.4318,0.056856,-11.5087,-0.001111,-16.9504,0.040358,-4.8056,-0.002193,-14.5261,0.048277,-6.2355,0.080518,ang,0.7702,0.7702,0.2196,0.0099,0.0004
sample_013_AimeeMullins_2009P_Segment113,123.39,16,7.78,"and he was using it and integrating it into teaching resident students, med students from Hanuman.",0,0.0,211.021,63.322,360.306,0.3001,0.200435,0.160986,0.074199,0.044903,0.180408,0.8908,3,0.256,2079.567,1707.2,3967.867,0.147794,-194.1818,-0.850528,61.9802,-0.115687,-16.2506,0.288104,45.0484,-0.157777,-25.5312,0.297195,-12.6231,0.037271,-19.1532,0.032771,-8.0392,-0.05098,-15.0077,-0.064973,-18.6419,0.012525,-8.9993,-0.023611,-13.9667,0.002998,-7.653,0.049973,ang,0.5454,0.5454,0.3831,0.0391,0.0324
sample_014_AimeeMullins_2009P_Segment114,191.33,25,7.84,medical school and Hershey medical school and he called this part of the course the X factor. There was the potential of the human will.,0,0.0,203.257,74.459,450.0,0.3663,0.30832,0.185606,0.057674,0.039476,0.15874,0.8659,3,0.32,2104.93,1623.032,3929.846,0.187275,-205.3263,-0.228427,65.7394,0.079314,-37.6904,0.039929,18.7484,-0.190084,-30.226,-0.341993,-6.1637,0.06247,-22.9868,0.179884,-8.1626,0.063273,-7.9066,0.090024,-17.7051,-0.002938,-11.345,0.019952,-9.8692,0.136421,-5.1895,0.025175,hap,0.7592,0.2369,0.7592,0.0035,0.0004
sample_015_AimeeMullins_2009P_Segment115,164.74,19,6.92,No prognosis can account for how powerful this could be as a determinant in the quality of someone's life.,0,0.0,200.039,64.549,449.821,0.3227,0.184953,0.161263,0.068091,0.040581,0.16578,0.9595,1,0.128,1897.394,1589.684,3482.168,0.16085,-197.1874,0.751557,77.4039,-0.749742,-30.329,-0.270137,14.4994,-0.168571,-22.7392,0.006779,-8.2041,0.071034,-17.6418,-0.029075,-9.5927,0.024266,-8.9712,0.209042,-15.6642,0.059146,-9.9671,0.034758,-9.2733,0.085309,-6.8478,0.019021,ang,0.8312,0.8312,0.1616,0.0064,0.0008
