sample_id,wpm,word_count,duration_sec,whisper_transcript,pitch_mean,pitch_variability,energy_mean,jitter,shimmer,spectral_centroid,tone_label,tone_score,filler_ratio
test_0000,274.81,24,5.24,a few years ago I was in a food market and the town where I grew up and that red zone and Northeastern Pennsylvania.,227.05,0.3036,0.085182,0.052888,0.170569,1902.88,ang,0.5035,0.0
test_0001,211.36,31,8.8,"And I was standing over a bushel of tomatoes. It was summertime. I had shorts on. I hear this guy, his voice behind me, say, well, if it isn't, amen, melons.",224.74,0.3932,0.046126,0.070806,0.175492,2007.75,ang,0.6777,0.0
test_0002,219.51,24,6.56,"And I turn around and this is older man, I have no idea who he is. And I said, I'm sorry sir, I don't...",194.24,0.443,0.042379,0.126333,0.163205,1847.05,hap,0.7219,0.0
test_0003,217.5,29,8.0,"Have we met? I don't remember meeting you. He said, well, you wouldn't remember meeting me. I mean, when we met, I was delivering you from your mother's womb.",197.52,0.3134,0.068873,0.087269,0.127079,1735.02,hap,0.7667,0.0
test_0004,60.0,6,6.0,"Oh, that guy. Of course, actually.",315.9,0.4712,0.05874,0.26862,0.170448,2146.45,hap,0.9685,0.1667
test_0005,162.34,25,9.24,It did click. This man was Dr. Keen. A man that I'd only known about to my mother's stories of that day because of course.,215.0,0.4303,0.075575,0.181724,0.187176,1974.59,ang,0.8085,0.0
test_0006,168.87,34,12.08,"typical fashion, I arrived late from my birthday by two weeks. And so my mother's prenatal physician had gone on vacation. So the man who delivered me was a complete stranger to my parents.",224.33,0.4107,0.061444,0.175347,0.16644,2120.88,hap,0.824,0.0588
test_0007,245.33,35,8.56,"And because I was born with that vestibula bones, and had feet turned in, and a few toes in this foot, and a few toes in that, he had to be the bearer, the stranger.",232.15,0.4603,0.069082,0.145908,0.190202,2098.76,hap,0.525,0.0
test_0008,177.27,26,8.8,"had to be the bearer of bad news. He said to me, I had to give this prognosis to your parents that you would never walk.",187.77,0.4724,0.058315,0.187194,0.187374,1956.54,ang,0.9742,0.0
test_0009,237.24,31,7.84,and you would never have the kind of mobility that other kids have or any kind of life of independence. And you've been making a liar out of me ever since.,189.66,0.231,0.084992,0.074752,0.152363,1801.35,ang,0.819,0.0
test_0010,70.09,10,8.56,"See also hurt, useless, and weak. Antonyms, healthy, strong, capable.",188.86,0.4576,0.051583,0.245672,0.229798,2228.25,ang,0.9283,0.0
